country,year,iso_code,population,gdp,energy_per_capita,per_capita_electricity,primary_energy_consumption,renewables_share_elec,solar_share_elec,wind_share_elec,hydro_share_elec,low_carbon_share_elec,fossil_share_elec,carbon_intensity_elec,greenhouse_gas_emissions,gdp_per_capita,ghg_per_capita
Argentina,2000,ARG,37213986.0,536480965694.0,18907.803,2391.037,703.635,32.592,0.0,0.034,32.12,39.537,60.463,355.47,31.63,14416.111343031085,0.8499492636988685
Argentina,2001,ARG,37624817.0,514867255248.0,18268.281,2395.759,687.341,41.036,0.0,0.055,40.581,48.868,51.132,302.09,27.23,13684.2460987385,0.7237244502744027
Argentina,2002,ARG,38029345.0,460558541367.0,17306.4,2224.335,658.151,43.007,0.0,0.083,42.298,49.888,50.112,294.83,24.94,12110.609356195853,0.6558093493327324
Argentina,2003,ARG,38424283.0,503104157615.0,18341.469,2396.141,704.758,37.754,0.0,0.087,36.711,45.976,54.024,316.39,29.13,13093.390906344302,0.7581143413918745
Argentina,2004,ARG,38815915.0,550306327169.0,19351.779,2582.961,751.157,31.319,0.0,0.07,30.381,39.168,60.832,357.67,35.86,14177.337495947217,0.9238478598275991
Argentina,2005,ARG,39216786.0,601050418142.0,20306.785,2696.549,796.367,33.296,0.0,0.066,32.359,39.792,60.208,357.16,37.77,15326.35586562346,0.9631079915625927
Argentina,2006,ARG,39622113.0,652296814311.0,21100.816,2862.795,836.059,34.506,0.0,0.062,33.518,41.312,58.688,349.91,39.69,16462.94871530451,1.0017133614252223
Argentina,2007,ARG,40016767.0,714725198062.0,21717.797,2836.811,869.076,28.497,0.0,0.053,27.502,34.884,65.116,388.04,44.05,17860.643216429755,1.1007885769482575
Argentina,2008,ARG,40424151.0,747157417513.0,21746.203,3015.771,879.072,26.618,0.0,0.033,25.593,32.68,67.32,400.62,48.84,18482.946432517532,1.2081886395090895
Argentina,2009,ARG,40854832.0,705920838368.0,20858.098,2994.015,852.154,29.308,0.0,0.033,28.303,35.996,64.004,382.36,46.77,17278.76003425984,1.1447850281210312
Argentina,2010,ARG,41288694.0,785785170150.0,21368.264,3051.683,882.268,27.595,0.0,0.024,26.476,33.317,66.683,401.59,50.6,19031.485232979274,1.225517087074733
